name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
Intel Core i3-9350K 4 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,91,LGA 1151,DDR4,4,4,4,4.6,8,14,Intel Coffee Lake Refresh
Intel Core i7-990X Extreme Edition 3.467 GHz 6-Core Processor,4.0,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51sVTOAhw6L.jpg,130,LGA 1366,DDR4,6,12,3.467,N/A,12,32,Intel Westmere
Intel Core i3-10100T 3 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,35,LGA 1200,DDR4,4,8,3,3.8,6,14,Intel Comet Lake
Intel Core i7-11700 2.5 GHz 8-Core Processor,4.6,289.9,https://www.amazon.com/dp/B08X6QHYDL?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/8d5a39d0af57bddb57731195a8c1d58c.256p.jpg,65,LGA 1200,DDR4,8,16,2.5,4.9,16,14,Intel Rocket Lake
Intel Core i9-13900KF 3 GHz 24-Core Processor,4.6,471.1,https://www.amazon.com/dp/B0BCFM3CJ4?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ef583b00501fbe1d9df909c3ffe2b413.256p.jpg,125,LGA 1700,DDR4,24,32,3,5.8,36,10,Intel Raptor Lake
AMD Athlon II X3 415e 2.5 GHz Triple-Core Processor,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31agtMe7jCL.jpg,45,AM3,DDR4,3,3,2.5,N/A,0,45,AMD K10
AMD Phenom II X2 550 3.1 GHz Dual-Core Processor,3.5,N/A,N/A,https://m.media-amazon.com/images/I/41G1B97mB0L.jpg,80,AM3,DDR4,2,2,3.1,N/A,6,45,AMD K10
AMD Ryzen 5 5600 3.5 GHz 6-Core Processor,4.9,115.6,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Famd-ryzen-5-5600-ryzen-5-5000-series-vermeer-socket-am4-desktop-processor%2Fp%2FN82E16819113736,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,65,AM4,DDR4,6,12,3.5,4.4,32,7,AMD Zen 3
Intel Core i5-750S 2.4 GHz Quad-Core Processor,N/A,125.0,https://www.amazon.com/dp/B00337XOX2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/51Z4xqm4nJL.jpg,82,LGA 1156,DDR4,4,4,2.4,N/A,8,45,Intel Nehalem
Intel Core i5-9400F 2.9 GHz 6-Core OEM/Tray Processor,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/04f08a1dee17429cdf0a6021ebe5351d.256p.jpg,65,LGA 1151,DDR4,6,6,2.9,4.1,9,14,Intel Coffee Lake Refresh
Intel Core i7-940 2.93 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,130,LGA 1366,DDR4,4,8,2.93,N/A,8,45,Intel Nehalem
